subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
100-1-2,P,0,-1,R,2,6054,1750,7811,8318,8318,642,<right>,<right>,1,1
100-1-2,P,0,-1,D,2,8972,3000,11978,12483,12484,675,<down>,<down>,1,1
100-1-2,P,0,1,D,2,13170,2500,15676,16183,16184,668,<down>,<down>,1,1
100-1-2,P,0,-1,D,1,16863,1500,18369,18874,18875,588,<down>,<down>,1,1
100-1-2,P,0,-1,U,1,19479,1750,21234,21740,21740,604,<up>,<up>,1,1
100-1-2,P,0,1,L,2,22358,2250,24614,25120,25120,575,<left>,<left>,1,1
100-1-2,P,0,-1,D,1,25706,3500,29212,29718,29718,593,<down>,<down>,1,1
100-1-2,P,0,1,L,1,30325,3000,33329,33835,33836,633,<left>,<left>,1,1
100-1-2,P,0,-1,U,2,39015,1500,40520,40725,40726,1148,<up>,<up>,1,1
100-1-2,P,0,1,R,1,41887,2750,44643,44850,44850,572,<right>,<right>,1,1
100-1-2,P,0,-1,U,2,45434,1750,47188,47396,47396,722,<up>,<up>,1,1
100-1-2,P,0,-1,D,2,48130,2500,50635,50841,50841,733,<down>,<down>,1,1
100-1-2,P,0,1,U,2,51588,3250,54844,55050,55050,700,<up>,<up>,1,1
100-1-2,P,0,-1,U,1,55766,3000,58771,58976,58977,606,<up>,<up>,1,1
100-1-2,P,0,-1,U,2,59598,3250,62853,63060,63060,652,<up>,<up>,1,1
100-1-2,P,0,1,L,2,63726,3500,67231,67437,67438,637,<left>,<left>,1,1
100-1-2,T,1,1,U,1,72683,2500,75189,75396,75397,632,<up>,<up>,1,1
100-1-2,T,2,-1,U,1,76043,3000,79048,79254,79254,575,<up>,<up>,1,1
100-1-2,T,3,1,L,1,79842,3250,83097,83302,83303,624,<left>,<left>,1,1
100-1-2,T,4,-1,D,1,83939,1750,85695,85902,85903,717,<down>,<down>,1,1
100-1-2,T,5,1,D,2,86634,3500,90139,90344,90344,761,<down>,<down>,1,1
100-1-2,T,6,-1,D,2,91124,2500,93630,93835,93835,764,<down>,<down>,1,1
100-1-2,T,7,1,U,1,94619,3500,98124,98329,98330,589,<up>,<up>,1,1
100-1-2,T,8,-1,R,1,98935,1750,100690,100897,100897,555,<right>,<right>,1,1
100-1-2,T,9,-1,D,1,101465,1750,103220,103425,103426,588,<down>,<down>,1,1
100-1-2,T,10,-1,U,2,104029,1500,105534,105741,105741,735,<up>,<up>,1,1
100-1-2,T,11,1,U,1,106490,2500,108995,109202,109202,728,<up>,<right>,0,0
100-1-2,T,12,1,U,1,109940,1750,111695,111902,111902,532,<up>,<up>,1,1
100-1-2,T,13,-1,L,2,112450,2750,115205,115412,115412,756,<left>,<left>,1,1
100-1-2,T,14,-1,L,1,116183,3250,119438,119644,119645,618,<left>,<left>,1,1
100-1-2,T,15,-1,U,1,120276,3500,123781,123987,123987,640,<up>,<up>,1,1
100-1-2,T,16,-1,L,1,124640,2750,127396,127603,127603,616,<left>,<left>,1,1
100-1-2,T,17,-1,D,1,128233,1500,129739,129946,129946,680,<down>,<down>,1,1
100-1-2,T,18,1,R,1,130643,3000,133647,133854,133855,704,<right>,<right>,1,1
100-1-2,T,19,1,D,2,134574,3250,137829,138035,138035,789,<down>,<down>,1,1
100-1-2,T,20,-1,U,1,138838,3500,142344,142547,142547,731,<up>,<up>,1,1
100-1-2,T,21,1,D,2,143294,3500,146798,147003,147004,794,<down>,<down>,1,1
100-1-2,T,22,1,U,2,147812,2500,150316,150521,150522,604,<up>,<up>,1,1
100-1-2,T,23,1,D,2,151140,2250,153394,153600,153600,734,<down>,<down>,1,1
100-1-2,T,24,1,R,1,154349,3250,157605,157812,157812,641,<right>,<right>,1,1
100-1-2,T,25,1,D,1,158466,1750,160222,160429,160430,654,<down>,<down>,1,1
100-1-2,T,26,-1,L,1,161098,3000,164103,164309,164309,636,<left>,<left>,1,1
100-1-2,T,27,-1,D,2,164959,1750,166715,166920,166921,866,<down>,<down>,1,1
100-1-2,T,28,1,D,1,167801,2000,169807,170014,170015,664,<down>,<down>,1,1
100-1-2,T,29,1,R,1,170696,2250,172951,173157,173158,621,<right>,<right>,1,1
100-1-2,T,30,1,U,1,173795,2000,175800,176007,176007,505,<up>,<up>,1,1
100-1-2,T,31,-1,D,1,176527,1750,178282,178489,178489,658,<down>,<down>,1,1
100-1-2,T,32,-1,D,1,179159,2750,181915,182120,182121,650,<down>,<down>,1,1
100-1-2,T,33,-1,U,1,182786,2750,185542,185749,185749,533,<up>,<up>,1,1
100-1-2,T,34,-1,D,2,186297,2750,189052,189259,189259,763,<down>,<down>,1,1
100-1-2,T,35,-1,D,2,190035,2750,192791,192998,192998,672,<down>,<down>,1,1
100-1-2,T,36,1,U,2,193687,3500,197192,197398,197398,694,<up>,<up>,1,1
100-1-2,T,37,1,D,1,198104,2250,200358,200565,200566,672,<down>,<down>,1,1
100-1-2,T,38,-1,L,1,201252,1500,202756,202961,202962,563,<left>,<left>,1,1
100-1-2,T,39,1,L,1,203539,2750,206295,206501,206502,511,<left>,<left>,1,1
100-1-2,T,40,1,D,1,207028,2500,209533,209739,209740,638,<down>,<down>,1,1
100-1-2,T,41,-1,L,2,210390,3000,213396,213602,213602,768,<left>,<right>,0,1
100-1-2,T,42,-1,R,2,214384,3000,217390,217596,217596,638,<right>,<right>,1,1
100-1-2,T,43,1,U,2,218248,2500,220752,220956,220956,797,<up>,<down>,0,1
100-1-2,T,44,-1,L,1,221770,2750,224525,224731,224732,873,<left>,<left>,1,1
100-1-2,T,45,-1,U,2,225620,2750,228376,228583,228583,670,<up>,<up>,1,1
100-1-2,T,46,-1,L,2,229267,1500,230772,230979,230980,605,<left>,<left>,1,1
