subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
100-1-1,P,0,1,D,2,64007,1750,65764,66270,66270,630,<down>,<right>,0,0
100-1-1,P,0,1,R,1,66924,2000,68929,69434,69434,608,<right>,<right>,1,1
100-1-1,P,0,-1,U,2,70062,2250,72316,72823,72823,672,<up>,<up>,1,1
100-1-1,P,0,1,U,2,73510,1500,75016,75520,75520,701,<up>,<up>,1,1
100-1-1,P,0,-1,L,1,76246,2500,78751,79255,79256,536,<left>,<left>,1,1
100-1-1,P,0,-1,L,1,79816,2250,82071,82578,82579,486,<left>,<left>,1,1
100-1-1,P,0,-1,L,2,83087,3000,86092,86598,86599,632,<left>,<left>,1,1
100-1-1,P,0,-1,R,2,87248,3250,90502,91008,91009,701,<right>,<right>,1,1
100-1-1,P,0,1,L,2,99151,3250,102407,102614,102614,1082,<left>,<right>,0,1
100-1-1,P,0,-1,R,1,103710,2750,106465,106670,106671,828,<right>,<right>,1,1
100-1-1,P,0,1,R,2,107511,3000,110516,110724,110725,787,<right>,<right>,1,1
100-1-1,P,0,1,L,1,111524,1750,113279,113486,113486,639,<left>,<left>,1,1
100-1-1,P,0,-1,U,2,114137,3250,117393,117600,117601,1881,<up>,<up>,1,1
100-1-1,P,0,-1,U,1,119496,2750,122251,122456,122457,625,<up>,<up>,1,1
100-1-1,P,0,1,U,2,123094,2000,125098,125303,125304,1033,<up>,<down>,0,1
100-1-1,P,0,1,D,1,126351,2750,129107,129314,129314,744,<down>,<down>,1,1
100-1-1,T,1,1,L,1,133923,3250,137178,137385,137386,640,<left>,<left>,1,1
100-1-1,T,2,-1,L,1,138038,3500,141543,141750,141751,665,<left>,<left>,1,1
100-1-1,T,3,-1,L,2,142431,2500,144936,145143,145144,838,<left>,<right>,0,1
100-1-1,T,4,-1,R,1,145996,3250,149251,149458,149458,673,<right>,<right>,1,1
100-1-1,T,5,-1,L,1,150144,2750,152900,153107,153107,635,<left>,<left>,1,1
100-1-1,T,6,-1,L,2,153756,2000,155762,155969,155970,601,<left>,<left>,1,1
100-1-1,T,7,1,L,1,156584,3500,160089,160294,160295,638,<left>,<left>,1,1
100-1-1,T,8,-1,R,1,160947,3000,163952,164158,164158,603,<right>,<right>,1,1
100-1-1,T,9,-1,D,2,164775,2250,167031,167238,167238,706,<down>,<down>,1,1
100-1-1,T,10,1,L,1,167957,3000,170961,171166,171167,636,<left>,<left>,1,1
100-1-1,T,11,1,L,1,171817,3000,174821,175028,175028,558,<left>,<left>,1,1
100-1-1,T,12,1,L,1,175599,3250,178854,179059,179060,559,<left>,<left>,1,1
100-1-1,T,13,1,D,1,179634,3000,182638,182844,182845,819,<down>,<down>,1,1
100-1-1,T,14,1,R,2,183681,2500,186187,186394,186394,710,<right>,<right>,1,1
100-1-1,T,15,1,L,1,187118,2750,189873,190080,190081,601,<left>,<left>,1,1
100-1-1,T,16,-1,L,1,190696,3250,193952,194157,194158,677,<left>,<left>,1,1
100-1-1,T,17,-1,D,2,194851,2500,197356,197561,197561,881,<down>,<up>,0,1
100-1-1,T,18,-1,R,2,198455,3000,201460,201667,201668,615,<right>,<right>,1,1
100-1-1,T,19,1,U,2,202297,3250,205552,205759,205759,1020,<up>,<down>,0,1
100-1-1,T,20,1,U,1,206793,3000,209799,210005,210006,666,<up>,<up>,1,1
100-1-1,T,21,1,L,2,210691,2000,212696,212903,212903,695,<left>,<left>,1,1
100-1-1,T,22,1,R,2,213613,2750,216368,216575,216575,643,<right>,<right>,1,1
100-1-1,T,23,1,L,1,217232,2750,219987,220193,220194,554,<left>,<left>,1,1
100-1-1,T,24,-1,L,2,220762,2250,223016,223221,223222,813,<left>,<left>,1,1
100-1-1,T,25,-1,L,1,224051,3500,227557,227763,227763,652,<left>,<left>,1,1
100-1-1,T,26,-1,U,1,228431,3250,231686,231893,231893,708,<up>,<up>,1,1
100-1-1,T,27,-1,D,2,232615,1750,234370,234577,234577,754,<down>,<down>,1,1
100-1-1,T,28,-1,U,1,235345,1500,236850,237057,237058,669,<up>,<up>,1,1
100-1-1,T,29,1,U,1,237741,3250,240997,241204,241205,662,<up>,<up>,1,1
100-1-1,T,30,1,L,1,241882,1500,243388,243593,243594,660,<left>,<left>,1,1
